iter	Passed	Remaining
412	4232	6015
413	4245	6009
414	4256	5999
415	4268	5992
416	4280	5984
417	4290	5974
418	4302	5966
419	4314	5957
420	4328	5952
421	4339	5943
422	4351	5935
423	4364	5929
424	4380	5926
425	4395	5922
426	4410	5918
427	4425	5914
428	4438	5907
429	4450	5899
430	4464	5893
431	4476	5885
432	4487	5875
433	4499	5867
434	4511	5859
435	4523	5851
436	4535	5842
437	4547	5834
438	4558	5825
439	4590	5842
440	4623	5860
441	4654	5876
442	4671	5873
443	4691	5874
444	4702	5865
445	4713	5854
446	4726	5847
447	4738	5838
448	4748	5827
449	4761	5819
450	4774	5811
451	4785	5802
452	4796	5792
453	4809	5784
454	4824	5778
455	4838	5771
456	4854	5767
457	4867	5760
458	4880	5752
459	4893	5744
460	4905	5735
461	4917	5726
462	4928	5716
463	4941	5708
464	4953	5699
465	4963	5688
466	4975	5678
467	4987	5669
468	4999	5660
469	5010	5650
470	5023	5641
471	5035	5632
472	5045	5621
473	5056	5611
474	5068	5601
475	5079	5591
476	5090	5581
477	5102	5571
478	5115	5564
479	5125	5552
480	5137	5543
481	5148	5532
482	5158	5521
483	5168	5510
484	5179	5499
485	5189	5488
486	5200	5478
487	5211	5467
488	5221	5456
489	5232	5446
490	5242	5434
491	5253	5424
492	5264	5414
493	5279	5407
494	5291	5398
495	5305	5391
496	5320	5384
497	5332	5375
498	5344	5365
499	5354	5354
500	5366	5344
501	5379	5336
502	5391	5327
503	5403	5317
504	5416	5309
505	5428	5299
506	5442	5292
507	5455	5283
508	5466	5273
509	5479	5264
510	5492	5255
511	5503	5245
512	5517	5238
513	5531	5229
514	5544	5221
515	5557	5212
516	5568	5202
517	5580	5192
518	5591	5182
519	5601	5171
520	5613	5160
521	5626	5152
522	5639	5143
523	5649	5131
524	5660	5121
525	5672	5111
526	5682	5100
527	5694	5090
528	5705	5080
529	5716	5069
530	5730	5061
531	5744	5053
532	5759	5046
533	5773	5037
534	5785	5028
535	5796	5018
536	5810	5009
537	5822	4999
538	5833	4989
539	5845	4979
540	5858	4970
541	5869	4960
542	5880	4948
543	5891	4938
544	5903	4928
545	5914	4918
546	5925	4907
547	5937	4897
548	5951	4889
549	5966	4881
550	5978	4872
551	5992	4863
552	6005	4854
553	6020	4846
554	6036	4839
555	6048	4830
556	6059	4819
557	6072	4809
558	6083	4799
559	6097	4790
560	6109	4780
561	6121	4771
562	6134	4761
563	6147	4752
564	6162	4744
565	6177	4736
566	6191	4728
567	6212	4724
568	6224	4715
569	6237	4705
570	6249	4695
571	6262	4685
572	6272	4674
573	6286	4665
574	6296	4654
575	6306	4642
576	6317	4631
577	6328	4620
578	6338	4608
579	6349	4598
580	6362	4588
581	6372	4576
582	6384	4566
583	6395	4555
584	6405	4544
585	6416	4533
586	6427	4522
587	6437	4510
588	6451	4501
589	6462	4490
590	6472	4479
591	6485	4469
592	6496	4459
593	6507	4448
594	6517	4436
595	6527	4424
596	6538	4413
597	6548	4402
598	6559	4391
599	6568	4379
600	6581	4369
601	6592	4358
602	6601	4346
603	6614	4336
604	6628	4327
605	6641	4318
606	6653	4308
607	6667	4298
608	6679	4288
609	6691	4278
610	6701	4266
611	6712	4255
612	6723	4244
613	6733	4233
614	6745	4222
615	6756	4211
616	6766	4200
617	6778	4190
618	6791	4180
619	6803	4169
620	6813	4158
621	6826	4148
622	6837	4137
623	6847	4126
624	6859	4115
625	6870	4104
626	6881	4093
627	6892	4082
628	6903	4072
629	6914	4060
630	6925	4049
631	6937	4039
632	6949	4029
633	6959	4017
634	6971	4006
635	6982	3996
636	6992	3984
637	7003	3973
638	7015	3963
639	7025	3951
640	7036	3940
641	7047	3929
642	7058	3918
643	7074	3910
644	7088	3901
645	7103	3892
646	7117	3883
647	7130	3873
648	7141	3862
649	7152	3851
650	7164	3840
651	7173	3828
652	7185	3818
653	7196	3807
654	7206	3795
655	7218	3785
656	7230	3774
657	7240	3763
658	7251	3752
659	7262	3741
660	7273	3730
661	7285	3719
662	7296	3708
663	7305	3696
664	7317	3686
665	7328	3675
666	7339	3664
667	7351	3653
668	7362	3642
669	7373	3631
670	7383	3620
671	7394	3609
672	7403	3597
673	7414	3586
674	7425	3575
675	7435	3563
676	7449	3554
677	7460	3543
678	7470	3531
679	7483	3521
680	7494	3510
681	7505	3499
682	7517	3489
683	7532	3479
684	7547	3470
685	7561	3461
686	7575	3451
687	7587	3441
688	7598	3430
689	7611	3419
690	7622	3408
691	7632	3397
692	7645	3387
693	7658	3376
694	7670	3365
695	7680	3354
696	7690	3343
697	7701	3331
698	7711	3320
699	7721	3309
700	7731	3297
701	7742	3286
702	7752	3275
703	7763	3264
704	7774	3253
705	7784	3241
706	7794	3230
707	7804	3218
708	7814	3207
709	7826	3196
710	7837	3185
711	7848	3174
712	7859	3163
713	7871	3152
714	7881	3141
715	7892	3130
716	7903	3119
717	7913	3108
718	7924	3097
719	7936	3086
720	7946	3074
721	7957	3064
722	7969	3053
723	7983	3043
724	7996	3033
725	8009	3023
726	8026	3013
727	8040	3004
728	8052	2993
729	8063	2982
730	8074	2971
731	8087	2961
732	8099	2950
733	8109	2938
734	8120	2927
735	8132	2917
736	8143	2905
737	8154	2894
738	8166	2884
739	8180	2874
740	8194	2864
741	8207	2853
742	8221	2843
743	8234	2833
744	8247	2822
745	8262	2813
746	8275	2802
747	8288	2792
748	8302	2782
749	8315	2771
750	8330	2761
751	8346	2752
752	8362	2743
753	8377	2733
754	8392	2723
755	8407	2713
756	8421	2703
757	8438	2694
758	8455	2684
